Jan ,Feb ,Mar ,Apr ,May ,June ,July ,Aug ,Sep ,Oct ,Nov ,Dec ,Year
0,34,34,71,178,166,400,242,284,158,1,1,130.75
0,58,65,41,208,294,404,256,140,222,15,3,142.17
2.9,28,32,111,365,252,612,203,564,125,0,0,208.36
0,27,16,114,193,299,671,335,582,59,0,0,191.33
0,42,17,98,196,352,521,296,539,79,0,0,178.33
2.9,29,20,202,301,312,1216,278,303,60,0,0,247.36
2.9,18,34,162,318,274,726,186,501,37,0,0,205.09
2.9,25,21,115,408,297,652,182,294,106,1,0,191
0,172,82,88,104,131,325,362,285,155,175,15,157.83
0,105,60,77,107,260,380,385,286,138,265,11,172.83
0,130,109,73,116,222,144,567,234,68,172,11,153.83
0,109,84,155,123,155,228,231,222,157,75,14,129.42
0,82,18,76,227,155,167,129,264,142,31,3,107.83
0,102,61,199,171,228,232,178,179,219,26,4,133.25
0,78,30,84,146,154,447,258,249,176,365,13,166.67
0,78,60,48,165,264,624,336,195,96,226,11,175.25
0,63,48,77,211,501,745,617,293,371,220,5,262.58
0,71,31,62,143,149,425,360,273,77,265,18,156.17
0,20,17,328,442,308,357,140,74,45,13,13,146.42
0,40,42,248,303,196,332,172,202,77,5,23,136.67
0,4,15,232,225,200,422,86,138,68,22,13,118.75
0,1,2,171,400,353,475,194,168,70,9,9,154.33
0,0,2,207,232,174,253,172,130,44,0,4,101.5
0,20,36,230,624,361,299,258,126,142,34,12,178.5
0,10,34,269,490,305,307,221,144,122,36,18,163
0,11,49,252,448,464,539,465,320,136,5,19,225.67
13,0,20,90,406,640,818,316,157,297,0,4,230.08
1,3,0,193,428,906,1290,589,244,251,0,0,325.42
18,0,0,259,270,1158,1087,444,157,227,0,3,301.92
0,0,4,247,291,1049,502,281,333,257,0,35,249.92
0,0,21,240,430,494,299,122,116,42,0,7,147.58
0,2,9,183,452,546,418,200,76,73,14,3,164.67
0,2,4,182,407,493,722,291,164,101,0,1,197.25
0,2,16,257,410,596,572,503,196,89,0,1,220.17
0,3,13,76,437,570,728,307,217,312,0,5,222.33
26,0,0,59,252,975,1224,378,328,401,0,8,304.25
0,0,0,108,315,719,773,396,292,369,0,18,249.17
29,0,0,10,226,919,1334,459,233,598,0,10,318.17
0,39,95,393,519,794,689,504,373,103,39,29,298.08
34,19,51,248,559,366,195,354,174,120,2,50,181
0,12,9,144,107,139,239,85,116,87,0,17,79.58
0,9,48,247,183,110,451,103,67,94,4,19,111.25
0,35,44,134,336,242,434,144,162,70,0,18,134.92
0,19,46,103,252,267,457,228,169,62,0,14,134.75
0,38,62,229,230,198,306,202,109,61,0,17,121
0,0,14,169,307,363,154,198,145,33,0,7,115.83
0,0,29,63,144,127,171,152,192,8,0,10,74.67
0,0,25,194,122,416,218,245,245,16,0,9,124.17
0,2,54,71,263,756,634,439,455,3,0,7,223.67
0,1,18,227,306,590,430,433,380,2,0,7,199.5
0,3,33,162,364,391,138,67,171,41,0,5,114.58
0,0,1,82,218,265,271,100,106,53,0,3,91.58
0,0,5,81,266,503,427,212,177,100,0,2,147.75
0,0,0,77,138,256,273,259,146,105,0,10,105.33
0,3,12,207,166,119,430,114,75,76,0,11,101.08
0,3,1,130,169,214,398,146,110,55,0,25,104.25
0,6,30,171,250,243,420,81,123,119,0,31,122.83
0,0,10,163,250,341,297,180,84,110,0,4,119.92
0,0,5,150,368,377,528,296,106,201,10,0,170.08
0,0,1,48,273,742,766,295,275,267,1,1,222.42
0,0,7,134,316,350,287,181,120,111,0,1,125.58
0,2,100,230,202,398,584,573,383,381,6,33,241
0,0,158,329,352,496,367,448,435,214,25,34,238.17
0,1,102,265,252,218,501,471,291,373,17,46,211.42
